workerid,proliferate.condition,age,asses,comments,education,enjoyment,gender,language,error
926,condition1,33,Yes,,4,2,Female,Turkce,
895,condition1,34,Yes,,3,1,Male,Turkce,
924,condition1,33,Yes,,4,1,Female,Turkce,
899,condition1,31,Yes,,4,2,Male,Türkçe,
900,condition1,25,Yes,oznel ve nesnelin kisisel farkindaligi fazla oldugu icin cevaplar kisiler arasinda fazla degiskenlik gosterebilir bu yuzden korelasyon bulmakta problem olabilecegini dusunuyorum,4,1,Male,Turkce,
947,condition1,34,Yes,good luck,4,1,Female,Turkce,
823,condition1,,Yes,,3,1,Female,türkçe,
893,condition1,38,Yes,Açıklamalar daha ayrıntılı olabilirdi. Örneklerle bir yönlendirme olmadan deneye katılanlara destek verilebilirdi.,4,1,Male,TÜRKÇE,
916,condition1,20,Yes,deney guzeldi ama daha iyi ola bilirdi,1,1,Female,Azerice,
942,condition1,,,,-1,-1,,,
896,condition1,24,No,,4,1,Female,Türkçe,
948,condition1,27,Yes,Düşündürmeye iten bir test.,4,1,Male,Türkçe,
930,condition1,37,Yes,Teşekkürler,4,1,Male,Türkçe,
923,condition1,,Yes,,-1,-1,,,
883,condition1,32,Yes,,3,1,Female,Turkce,
919,condition1,18,Yes,,1,1,Male,Turkce,
925,condition1,27,Yes,,3,1,Female,Turkce,
957,condition1,33,Yes,gorecelilik uzerine guzel bir calisma. ucuncu halin imkansizligi gibi bazi sorular kafa karistiriciydi benim acimdan. mesela acik kapali sorusu yari acik yari kapali gibi.,4,1,Male,turkce,
918,condition1,24,Yes,,3,1,Male,Türkçe,
901,condition1,36,Yes,,3,1,Female,turkce,
912,condition1,46,Confused,Kafam karıştı diebilirim ,1,1,Female,Türkce,
915,condition1,32,Yes,,4,1,Female,Türkçe,
907,condition1,26,Yes,,4,1,Male,Turkce,
902,condition1,20,Yes,"Kisa bir deneydi, en azindan turkcemi denemis oldum.",2,2,Male,Turkce,
928,condition1,33,Yes,,3,1,Male,Türkçe ve ingilizce,
920,condition1,28,Yes,,2,1,Female,,
892,condition1,41,Yes,,4,1,Female,Türkçe,
886,condition1,32,Yes,direktif ve açıklamalar gayet belirgindi. soru cevaplama kısmı kullanım açısından kolaydı.,3,1,Male,türkçe,
931,condition1,33,Yes,,3,1,Male,Türkçe,
